brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Aprilia,RS 50,49,SPORT,1999,2020,8,105,
Aprilia,RS 125,124,SPORT,1992,,15,144,
Aprilia,RS 250,249,SPORT,1994,2004,72,141,
Aprilia,RS 660,659,SPORT,2020,,100,183,
Aprilia,RSV Mille,998,SPORT,1998,2003,128,199,
Aprilia,RSV 1000 Factory,998,SPORT,2004,2009,143,189,
Aprilia,RSV4 1000,999,SPORT,2009,,217,202,
Aprilia,RSV4 Factory,999,SPORT,2009,,217,202,
Aprilia,Tuono 125,124,NAKED,2017,,15,144,
Aprilia,Tuono 660,659,NAKED,2021,,95,183,
Aprilia,Tuono V4 1000,1077,NAKED,2011,,175,209,
Aprilia,Tuono V4 1100,1077,NAKED,2015,,175,209,
Aprilia,Shiver 750,749,NAKED,2007,2017,95,210,
Aprilia,Shiver 900,896,NAKED,2017,2020,95,218,
Aprilia,Dorsoduro 750,749,NAKED,2008,2016,92,207,
Aprilia,Dorsoduro 900,896,NAKED,2017,2020,95,212,
Aprilia,Dorsoduro 1200,1197,NAKED,2011,2017,130,210,
Aprilia,Tuareg 660,659,ADVENTURE,2022,,80,204,
Aprilia,Caponord 1200,1197,TOURING,2013,2017,125,228,
Aprilia,Caponord 1200 Rally,1197,TOURING,2015,2017,125,238,
Aprilia,Pegaso 650,652,ADVENTURE,1992,2009,50,190,
Aprilia,Pegaso Strada 650,660,ADVENTURE,2005,2009,48,195,
Aprilia,RX 50,49,ENDURO,2006,,8,95,
Aprilia,RX 125,124,ENDURO,2008,,15,134,
Aprilia,RX 125 4T,124,ENDURO,2018,,15,134,
Aprilia,SX 50,49,ENDURO,2006,,8,95,
Aprilia,SX 125,124,ENDURO,2008,,15,134,
Aprilia,SX 125 4T,124,ENDURO,2018,,15,134,
Aprilia,SR 50,49,SCOOTER,1992,2020,4,106,
Aprilia,SR GT 125,125,SCOOTER,2021,,15,144,
Aprilia,SR GT 200,174,SCOOTER,2021,,17,148,
Aprilia,Scarabeo 50,49,SCOOTER,1993,2017,4,110,
Aprilia,Scarabeo 100,100,SCOOTER,2000,2010,8,115,
Aprilia,Scarabeo 125,124,SCOOTER,2003,2017,15,150,
Aprilia,Scarabeo 200,181,SCOOTER,2004,2017,19,155,
Aprilia,Atlantic 125,124,SCOOTER,2003,2012,15,155,
Aprilia,Atlantic 300,278,SCOOTER,2010,2012,22,170,
Aprilia,Atlantic 500,460,SCOOTER,2002,2012,39,220,
