brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
BMW Motorrad,G 310 R,313,NAKED,2016,,34,158,
BMW Motorrad,G 310 GS,313,ADVENTURE,2017,,34,175,
BMW Motorrad,F 650 GS,652,ADVENTURE,2000,2007,50,193,
BMW Motorrad,F 700 GS,798,ADVENTURE,2012,2018,75,209,
BMW Motorrad,F 750 GS,853,ADVENTURE,2018,,77,224,
BMW Motorrad,F 800 GS,798,ADVENTURE,2008,2018,85,214,
BMW Motorrad,F 850 GS,853,ADVENTURE,2018,,95,233,
BMW Motorrad,F 900 GS,895,ADVENTURE,2024,,105,219,
BMW Motorrad,F 900 GS Adventure,895,ADVENTURE,2024,,105,246,
BMW Motorrad,F 900 XR,895,SPORT,2020,,105,219,
BMW Motorrad,F 800 R,798,NAKED,2009,2019,90,202,
BMW Motorrad,F 900 R,895,NAKED,2020,,105,211,
BMW Motorrad,S 1000 R,999,NAKED,2014,,170,199,
BMW Motorrad,S 1000 RR,999,SPORT,2009,,210,197,
BMW Motorrad,M 1000 RR,999,SPORT,2021,,218,192,
BMW Motorrad,M 1000 R,999,NAKED,2023,,210,199,
BMW Motorrad,R nineT,1170,CUSTOM,2014,2023,109,219,
BMW Motorrad,R nineT Pure,1170,CUSTOM,2017,2023,109,219,
BMW Motorrad,R nineT Scrambler,1170,CUSTOM,2016,2023,109,220,
BMW Motorrad,R 18,1802,CUSTOM,2020,,91,345,
BMW Motorrad,R 18 Classic,1802,CUSTOM,2020,,91,365,
BMW Motorrad,R 1200 GS,1170,ADVENTURE,2004,2018,125,238,
BMW Motorrad,R 1250 GS,1254,ADVENTURE,2018,2023,136,249,
BMW Motorrad,R 1300 GS,1301,ADVENTURE,2024,,145,237,
BMW Motorrad,R 1200 GS Adventure,1170,ADVENTURE,2006,2018,125,263,
BMW Motorrad,R 1250 GS Adventure,1254,ADVENTURE,2019,2023,136,268,
BMW Motorrad,R 1300 GS Adventure,1301,ADVENTURE,2024,,145,269,
BMW Motorrad,R 1200 RT,1170,TOURING,2005,2018,125,276,
BMW Motorrad,R 1250 RT,1254,TOURING,2019,,136,279,
BMW Motorrad,K 1200 GT,1157,TOURING,2003,2008,152,282,
BMW Motorrad,K 1300 GT,1293,TOURING,2009,2011,160,288,
BMW Motorrad,K 1600 GT,1649,TOURING,2011,,160,319,
BMW Motorrad,K 1600 GTL,1649,TOURING,2011,,160,358,
BMW Motorrad,K 1600 B,1649,CUSTOM,2017,,160,336,
BMW Motorrad,C 400 X,350,SCOOTER,2018,,34,204,
BMW Motorrad,C 400 GT,350,SCOOTER,2019,,34,214,
BMW Motorrad,C 650 Sport,647,SCOOTER,2015,2020,60,249,
BMW Motorrad,C 650 GT,647,SCOOTER,2012,2020,60,261,
BMW Motorrad,HP2 Enduro,1170,ENDURO,2005,2008,105,175,
BMW Motorrad,F 650 Dakar,652,ENDURO,2000,2007,50,192,
BMW Motorrad,G 450 X,449,ENDURO,2008,2010,52,120
