brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Benelli,BN 125,125,NAKED,2018,,11,142,
Benelli,BN 251,249,NAKED,2015,2020,25,143,
Benelli,302S,300,NAKED,2017,2020,38,204,
Benelli,TNT 300,300,NAKED,2015,2019,38,168,
Benelli,TNT 600,600,NAKED,2004,2016,85,231,
Benelli,TNT 899,899,NAKED,2008,2016,120,215,
Benelli,TNT 1130,1130,NAKED,2004,2015,137,205,
Benelli,752S,754,NAKED,2019,,77,226,
Benelli,302C,300,CUSTOM,2019,,38,220,
Benelli,502C,500,CUSTOM,2019,,47,216,
Benelli,502S,500,SPORT,2018,2021,47,209,
Benelli,TRK 251,249,ADVENTURE,2019,,25,153,
Benelli,TRK 502,500,ADVENTURE,2017,,47,235,
Benelli,TRK 502 X,500,ADVENTURE,2018,,47,235,
Benelli,TRK 702,698,ADVENTURE,2023,,70,235,
Benelli,TRK 702 X,698,ADVENTURE,2023,,70,246,
Benelli,Leoncino 250,249,NAKED,2018,,25,164,
Benelli,Leoncino 500,500,NAKED,2017,,47,207,
Benelli,Leoncino 500 Trail,500,ENDURO,2019,,47,209,
Benelli,Leoncino 800,754,NAKED,2022,,76,215,
Benelli,Leoncino 800 Trail,754,ENDURO,2022,,76,234,
Benelli,Imperiale 400,374,CUSTOM,2019,,21,205,
Benelli,752C,754,CUSTOM,2021,,77,254,
Benelli,251S,249,SPORT,2021,,25,153,
Benelli,Tornado Naked T 125,125,NAKED,2022,,11,124,
Benelli,Tornado 302R,300,SPORT,2017,2021,38,180,
Benelli,Tornado 550,554,SPORT,2024,,56,190,
Benelli,Pepe 50,49,SCOOTER,2004,2017,4,90,
Benelli,Caffenero 150,151,SCOOTER,2012,2018,12,130
