brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Beta,RR 50 Enduro,49,ENDURO,2000,,4,90,
Beta,RR 50 Motard,49,NAKED,2000,,4,90,
Beta,RR 125 2T Enduro,125,ENDURO,2018,,40,104,
Beta,RR 125 4T Enduro,125,ENDURO,2010,,15,101,
Beta,RR 125 4T Motard,125,NAKED,2010,,15,101,
Beta,RR 200 2T,190,ENDURO,2013,,28,105,
Beta,RR 250 2T,249,ENDURO,2005,,50,103,
Beta,RR 300 2T,293,ENDURO,2005,,55,104,
Beta,RR 350 4T,349,ENDURO,2011,,40,108,
Beta,RR 390 4T,385,ENDURO,2015,,42,109,
Beta,RR 430 4T,430,ENDURO,2015,,45,111,
Beta,RR 480 4T,478,ENDURO,2015,,50,112,
Beta,RR 498 4T,498,ENDURO,2010,2014,55,115,
Beta,Xtrainer 250,249,ENDURO,2015,,28,99,
Beta,Xtrainer 300,293,ENDURO,2015,,30,99,
Beta,Xtrainer 350,349,ENDURO,2024,,38,106,
Beta,Alp 200,199,ADVENTURE,1999,,15,108,
Beta,Alp 4.0,350,ADVENTURE,2003,2017,27,133,
Beta,Alp 200 Enduro,199,ENDURO,2000,2020,15,108,
Beta,Jonathan 350,345,NAKED,2000,2007,27,150,
Beta,Urban 125,124,NAKED,2009,2016,15,130,
Beta,Urban 200,199,NAKED,2009,2016,20,135,
Beta,Motard 2.0 125,124,NAKED,2010,,15,115,
Beta,Motard 4.0 350,349,NAKED,2005,2017,30,133,
Beta,RR 525 Racing,510,ENDURO,2005,2009,55,115,
Beta,RR 450 Racing,449,ENDURO,2005,,45,112,
Beta,RR 300 Racing,293,ENDURO,2010,,55,104
