brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
CFMOTO,300NK,292,NAKED,2018,,28,151,
CFMOTO,300SR,292,SPORT,2020,,29,165,
CFMOTO,300CL-X,292,NAKED,2020,,28,150,
CFMOTO,450NK,449,NAKED,2023,,46,165,
CFMOTO,450MT,449,ADVENTURE,2024,,42,175,
CFMOTO,450SR,449,SPORT,2023,,47,168,
CFMOTO,450SR S,449,SPORT,2024,,50,170,
CFMOTO,650NK,649,NAKED,2011,2022,61,206,
CFMOTO,650MT,649,ADVENTURE,2015,2022,61,218,
CFMOTO,650GT,649,TOURING,2015,2022,61,226,
CFMOTO,650TR-G,649,TOURING,2019,2022,61,230,
CFMOTO,700CL-X,693,NAKED,2021,,74,205,
CFMOTO,700CL-X Heritage,693,NAKED,2021,,74,205,
CFMOTO,700CL-X Sport,693,NAKED,2022,,74,205,
CFMOTO,700MT,693,ADVENTURE,2021,,74,218,
CFMOTO,800NK,799,NAKED,2023,,95,186,
CFMOTO,800MT Sport,799,ADVENTURE,2021,,91,231,
CFMOTO,800MT Touring,799,TOURING,2021,,91,231,
CFMOTO,800MT Explore,799,ADVENTURE,2023,,95,231,
CFMOTO,800MT-X,799,ADVENTURE,2024,,95,220,
CFMOTO,800NK Advanced,799,NAKED,2023,,95,186,
CFMOTO,675NK,675,NAKED,2024,,95,189,
CFMOTO,675SR-R,675,SPORT,2024,,95,189,
