brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Derbi,Senda R 50,49,ENDURO,1997,2020,4,92,
Derbi,Senda SM 50,49,ENDURO,1997,2020,4,94,
Derbi,Senda DRD Racing 50,49,ENDURO,2003,2018,4,95,
Derbi,Senda X-Treme 50,49,ENDURO,2000,2020,4,96,
Derbi,Senda X-Race 50,49,ENDURO,2000,2015,4,96,
Derbi,Terra 125,124,ADVENTURE,2008,2015,15,119,
Derbi,Terra Adventure 125,124,ADVENTURE,2008,2015,15,121,
Derbi,GPR 50,49,SPORT,1997,2017,4,110,
Derbi,GPR Nude 50,49,NAKED,2004,2017,4,105,
Derbi,GPR 125 2T,125,SPORT,2004,2010,22,120,
Derbi,GPR 125 4T,125,SPORT,2009,2013,15,120,
Derbi,Racing 125,124,SPORT,2004,2008,15,115,
Derbi,Mulhacén 125,124,NAKED,2007,2013,15,115,
Derbi,Mulhacén Café 125,124,NAKED,2007,2013,15,115,
Derbi,Boulevard 50,49,SCOOTER,2003,2010,4,95,
Derbi,Atlantis 50,49,SCOOTER,1999,2011,4,97,
Derbi,Atlantis 100,96,SCOOTER,2001,2007,8,105,
Derbi,Rambla 125,124,SCOOTER,2008,2014,15,135,
Derbi,Rambla 250,244,SCOOTER,2008,2014,22,150,
Derbi,GP1 50,49,SCOOTER,2001,2009,4,100,
Derbi,GP1 125,124,SCOOTER,2006,2009,15,120,
Derbi,GP1 250,244,SCOOTER,2006,2009,22,150,
