brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Ducati,Monster 600,583,NAKED,1994,2001,53,185,
Ducati,Monster 620,618,NAKED,2002,2006,63,178,
Ducati,Monster 696,696,NAKED,2008,2014,80,161,
Ducati,Monster 795,803,NAKED,2011,2014,87,167,
Ducati,Monster 821,821,NAKED,2014,2020,112,206,
Ducati,Monster 937,937,NAKED,2021,,111,188,
Ducati,Monster S4R,996,NAKED,2003,2008,113,199,
Ducati,Monster 1200,1198,NAKED,2014,2021,147,209,
Ducati,Streetfighter 848,849,NAKED,2011,2015,132,199,
Ducati,Streetfighter V4,1103,NAKED,2020,,208,201,
Ducati,Streetfighter V4 S,1103,NAKED,2020,,208,197,
Ducati,Hypermotard 796,803,NAKED,2009,2012,81,167,
Ducati,Hypermotard 950,937,NAKED,2019,,114,176,
Ducati,Diavel 1200,1198,CUSTOM,2011,2018,162,210,
Ducati,Diavel 1260,1262,CUSTOM,2019,2022,159,244,
Ducati,Diavel V4,1158,CUSTOM,2023,,168,223,
Ducati,XDiavel 1262,CUSTOM,2016,2022,152,247,
Ducati,XDiavel S,1262,CUSTOM,2016,2022,156,247,
Ducati,Scrambler Icon,803,CUSTOM,2015,,73,185,
Ducati,Scrambler Full Throttle,803,CUSTOM,2015,,73,185,
Ducati,Scrambler Nightshift,803,CUSTOM,2021,,73,180,
Ducati,Scrambler 1100,1079,CUSTOM,2018,2023,86,189,
Ducati,Scrambler 1100 Sport,1079,CUSTOM,2018,2023,86,206,
Ducati,Scrambler Sixty2,399,CUSTOM,2016,2020,41,183,
Ducati,Panigale 899,898,SPORT,2013,2015,148,169,
Ducati,Panigale 959,955,SPORT,2016,2019,157,197,
Ducati,Panigale V2,955,SPORT,2020,,155,200,
Ducati,Panigale V4,1103,SPORT,2018,,214,198,
Ducati,Panigale V4 S,1103,SPORT,2018,,216,195,
Ducati,Panigale V4 R,998,SPORT,2019,,218,193,
Ducati,848,849,SPORT,2008,2013,134,168,
Ducati,1098,1098,SPORT,2007,2009,160,173,
Ducati,1198,1198,SPORT,2009,2011,170,171,
Ducati,749,748,SPORT,2003,2006,108,193,
Ducati,999,999,SPORT,2003,2006,140,205,
Ducati,SuperSport 750,748,SPORT,1999,2002,64,198,
Ducati,SuperSport 950,937,SPORT,2021,,110,184,
Ducati,Multistrada 620,618,ADVENTURE,2005,2007,63,183,
Ducati,Multistrada 950,937,ADVENTURE,2017,2021,113,227,
Ducati,Multistrada V2,937,ADVENTURE,2022,,113,222,
Ducati,Multistrada 1200,1198,ADVENTURE,2010,2017,160,232,
Ducati,Multistrada 1260,1262,ADVENTURE,2018,2020,158,239,
Ducati,Multistrada V4,1158,ADVENTURE,2021,,170,240,
Ducati,Multistrada V4 S,1158,ADVENTURE,2021,,170,243,
Ducati,DesertX,937,ADVENTURE,2022,,110,223,
Ducati,MH900e,904,SPORT,2001,2002,75,192,
Ducati,ST2,944,TOURING,1997,2003,83,220,
Ducati,ST3,992,TOURING,2004,2007,107,226,
Ducati,ST4,916,TOURING,1999,2005,113,222
