brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Fantic,Caballero 50 Enduro,49,ENDURO,2017,,4,95,
Fantic,Caballero 50 Motard,49,SPORT,2017,,4,95,
Fantic,Caballero 125 Flat Track,124,NAKED,2017,,15,130,
Fantic,Caballero 125 Scrambler,124,NAKED,2018,,15,130,
Fantic,Caballero 125 Rally,124,ADVENTURE,2021,,15,135,
Fantic,Caballero 250,249,NAKED,2022,,28,140,
Fantic,Caballero 500 Scrambler,449,NAKED,2018,2023,40,150,
Fantic,Caballero 500 Flat Track,449,NAKED,2018,2023,40,150,
Fantic,Caballero 500 Rally,449,ADVENTURE,2019,2023,40,150,
Fantic,Caballero 700,689,NAKED,2023,,75,180,
Fantic,XEF 125,125,ENDURO,2021,,15,115,
Fantic,XEF 250,250,ENDURO,2021,,30,110,
Fantic,XEF 450,450,ENDURO,2021,,45,112,
Fantic,XE 50,49,ENDURO,2010,2020,4,90,
Fantic,XE 125,124,ENDURO,2018,,15,115,
Fantic,XE 250,250,ENDURO,2020,,30,110,
Fantic,XE 300,300,ENDURO,2020,,40,112,
Fantic,XE 300 2T,293,ENDURO,2021,,45,105,
Fantic,XM 50 Motard,49,SPORT,2010,2020,4,95,
Fantic,XM 125 Motard,124,SPORT,2018,,15,115,
Fantic,Issimo 45,49,NAKED,2021,,4,90,
Fantic,Regolarita Competizione 50,49,ENDURO,2000,2010,4,90,
Fantic,Trial 125,124,ENDURO,2010,2015,12,90,
