brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
GasGas,EC 125,125,ENDURO,2021,,38,96,
GasGas,EC 250 2T,249,ENDURO,2021,,48,104,
GasGas,EC 300 2T,293,ENDURO,2021,,55,104,
GasGas,EC 250F,250,ENDURO,2021,,40,105,
GasGas,EC 350F,349,ENDURO,2021,,45,107,
GasGas,EC 450F,449,ENDURO,2021,,55,109,
GasGas,EC 500F,510,ENDURO,2021,,58,110,
GasGas,EX 250,249,ENDURO,2021,,48,104,
GasGas,EX 300,293,ENDURO,2021,,55,104,
GasGas,EX 250F,250,ENDURO,2021,,40,105,
GasGas,EX 350F,349,ENDURO,2021,,45,107,
GasGas,EX 450F,449,ENDURO,2021,,55,109,
GasGas,MC 50,49,SPORT,2021,,5,39,
GasGas,MC 65,65,SPORT,2021,,16,53,
GasGas,MC 85,85,SPORT,2021,,20,68,
GasGas,MC 125,125,SPORT,2021,,40,92,
GasGas,MC 250F,250,SPORT,2021,,45,99,
GasGas,MC 350F,349,SPORT,2021,,57,100,
GasGas,MC 450F,449,SPORT,2021,,63,101,
GasGas,MC-E 3,50,SPORT,2021,,5,41,
GasGas,MC-E 5,50,SPORT,2021,,6,50,
GasGas,TXT GP 125,125,ENDURO,2021,,15,69,
GasGas,TXT GP 250,250,ENDURO,2021,,22,70,
GasGas,TXT GP 280,280,ENDURO,2021,,24,71,
GasGas,TXT GP 300,300,ENDURO,2021,,27,72,
GasGas,ES 700,693,ENDURO,2023,,74,146,
