brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Harley-Davidson,Sportster 883 Iron,883,CUSTOM,2009,2021,53,256,
Harley-Davidson,Sportster 1200 Custom,1202,CUSTOM,2007,2020,68,268,
Harley-Davidson,Iron 1200,1202,CUSTOM,2018,2021,68,256,
Harley-Davidson,Forty-Eight,1202,CUSTOM,2010,2022,68,252,
Harley-Davidson,Forty-Eight Special,1202,CUSTOM,2018,2021,68,252,
Harley-Davidson,Nightster 975,975,CUSTOM,2022,,91,225,
Harley-Davidson,Nightster Special 975,975,CUSTOM,2023,,91,225,
Harley-Davidson,Street Bob 114,1868,CUSTOM,2018,,95,286,
Harley-Davidson,Low Rider S 117,1923,CUSTOM,2022,,105,295,
Harley-Davidson,Low Rider ST 117,1923,CUSTOM,2022,,105,323,
Harley-Davidson,Softail Standard 107,1746,CUSTOM,2020,,86,297,
Harley-Davidson,Fat Boy 114,1868,CUSTOM,2018,,94,317,
Harley-Davidson,Fat Boy 117,1923,CUSTOM,2023,,105,317,
Harley-Davidson,Heritage Classic 114,1868,CUSTOM,2018,,94,330,
Harley-Davidson,Heritage Classic 117,1923,CUSTOM,2023,,105,330,
Harley-Davidson,Breakout 114,1868,CUSTOM,2018,,94,296,
Harley-Davidson,Breakout 117,1923,CUSTOM,2023,,105,296,
Harley-Davidson,Pan America 1250,1252,ADVENTURE,2021,,150,242,
Harley-Davidson,Pan America 1250 Special,1252,ADVENTURE,2021,,150,258,
Harley-Davidson,Street Glide 103,1690,TOURING,2011,2016,87,376,
Harley-Davidson,Street Glide Special 114,1868,TOURING,2018,,94,361,
Harley-Davidson,Street Glide 117,1923,TOURING,2024,,105,368,
Harley-Davidson,Road Glide 114,1868,TOURING,2018,,94,387,
Harley-Davidson,Road Glide 117,1923,TOURING,2024,,105,380,
Harley-Davidson,Road King 107,1746,TOURING,2017,2022,86,362,
Harley-Davidson,Road King Special 114,1868,TOURING,2017,,94,351,
Harley-Davidson,Electra Glide Ultra Classic,1690,TOURING,2010,2019,87,399,
Harley-Davidson,Ultra Limited 114,1868,TOURING,2018,,94,399,
Harley-Davidson,Tri Glide Ultra,1868,TOURING,2009,,94,563,
Harley-Davidson,Freewheeler,1868,TOURING,2015,,94,492,
Harley-Davidson,V-Rod Muscle,1250,CUSTOM,2009,2017,125,292,
Harley-Davidson,V-Rod Night Rod Special,1250,CUSTOM,2007,2017,125,290,
Harley-Davidson,Dyna Street Bob 1584,CUSTOM,2006,2017,75,305,
Harley-Davidson,Dyna Wide Glide 1584,CUSTOM,2006,2017,76,315,
Harley-Davidson,Fat Bob 114,1868,CUSTOM,2018,,94,306,
Harley-Davidson,Fat Bob 117,1923,CUSTOM,2023,,105,306
