brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Honda,Africa Twin XRV650,647,ADVENTURE,1988,1989,57,210,
Honda,Africa Twin XRV750,742,ADVENTURE,1990,2003,62,229,
Honda,Africa Twin CRF1000L,998,ADVENTURE,2016,2019,95,232,
Honda,Africa Twin CRF1100L,1084,ADVENTURE,2020,,102,231,
Honda,Africa Twin Adventure Sports,1084,ADVENTURE,2020,,102,238,
Honda,XL600V Transalp,583,ADVENTURE,1987,1999,50,196,
Honda,XL650V Transalp,647,ADVENTURE,2000,2007,53,191,
Honda,XL700V Transalp,680,ADVENTURE,2008,2013,60,214,
Honda,XL750 Transalp,755,ADVENTURE,2023,,92,208,
Honda,NX500,471,ADVENTURE,2024,,47,196,
Honda,NC700X,670,ADVENTURE,2012,2013,48,218,
Honda,NC750X,745,ADVENTURE,2014,,58,214,
Honda,CB500X,471,ADVENTURE,2013,2023,47,199,
Honda,CB500 Hornet,471,NAKED,2024,,47,188,
Honda,Hornet 600,599,NAKED,1998,2013,102,198,
Honda,CB750 Hornet,755,NAKED,2023,,92,190,
Honda,CB650R,649,NAKED,2019,,95,202,
Honda,CB1000R,998,NAKED,2008,,145,212,
Honda,CB1300 Super Four,1284,NAKED,1998,2025,113,266,
Honda,CB500F,471,NAKED,2013,2023,47,189,
Honda,CB650F,649,NAKED,2014,2018,87,208,
Honda,CBR500R,471,SPORT,2013,,47,192,
Honda,CBR600F,599,SPORT,1987,2013,102,210,
Honda,CBR600RR,599,SPORT,2003,,121,193,
Honda,CBR650R,649,SPORT,2019,,95,208,
Honda,CBR900RR Fireblade,893,SPORT,1992,1999,124,185,
Honda,CBR929RR Fireblade,929,SPORT,2000,2001,152,170,
Honda,CBR954RR Fireblade,954,SPORT,2002,2003,154,168,
Honda,CBR1000RR Fireblade,999,SPORT,2004,2016,172,199,
Honda,CBR1000RR-R Fireblade,999,SPORT,2020,,217,201,
Honda,VFR750F,748,SPORT_TOURING,1990,1997,100,236,
Honda,VFR800Fi,781,SPORT_TOURING,1998,2001,110,208,
Honda,VFR800 VTEC,781,SPORT_TOURING,2002,2013,107,239,
Honda,VFR1200F,1237,SPORT_TOURING,2010,2017,173,267,
Honda,NT650V Deauville,647,TOURING,1998,2005,56,223,
Honda,NT700V Deauville,680,TOURING,2006,2013,65,236,
Honda,NT1100,1084,TOURING,2022,,102,238,
Honda,Gold Wing GL1800,1833,TOURING,2018,,126,390,
Honda,CMX500 Rebel,471,CUSTOM,2017,,46,191,
Honda,CMX1100 Rebel,1084,CUSTOM,2021,,87,223,
Honda,Shadow VT750C,745,CUSTOM,2004,,45,250,
Honda,Shadow VT1100C,1099,CUSTOM,1985,2007,67,278,
Honda,X-ADV 750,745,SCOOTER,2017,,58,236,
Honda,Forza 350,330,SCOOTER,2021,,29,184,
Honda,Forza 750,745,SCOOTER,2021,,58,235,
Honda,SH125i,125,SCOOTER,2001,,13,134,
Honda,SH150i,156,SCOOTER,2001,,16,134,
Honda,SH350i,330,SCOOTER,2021,,29,174,
Honda,Integra 750,745,SCOOTER,2012,2020,55,238
