brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Husqvarna,Vitpilen 125,125,NAKED,2020,,15,146,
Husqvarna,Svartpilen 125,125,NAKED,2020,,15,146,
Husqvarna,Vitpilen 401,373,NAKED,2018,,44,153,
Husqvarna,Svartpilen 401,373,NAKED,2018,,44,152,
Husqvarna,Vitpilen 701,693,NAKED,2018,2020,75,157,
Husqvarna,Svartpilen 701,693,NAKED,2019,2020,75,158,
Husqvarna,Norden 901,889,ADVENTURE,2022,,105,204,
Husqvarna,Norden 901 Expedition,889,ADVENTURE,2023,,105,214,
Husqvarna,TE 125,125,ENDURO,2014,,40,99,
Husqvarna,TE 150,143,ENDURO,2017,,40,100,
Husqvarna,TE 250,249,ENDURO,2014,,55,105,
Husqvarna,TE 300,293,ENDURO,2014,,55,105,
Husqvarna,TE 300i,293,ENDURO,2018,2023,55,105,
Husqvarna,TE 300 Pro,293,ENDURO,2024,,55,106,
Husqvarna,FE 250,249,ENDURO,2014,,40,108,
Husqvarna,FE 350,349,ENDURO,2014,,45,109,
Husqvarna,FE 450,449,ENDURO,2014,,55,110,
Husqvarna,FE 501,510,ENDURO,2014,,60,112,
Husqvarna,TC 50,49,SPORT,2014,,5,39,
Husqvarna,TC 65,65,SPORT,2014,,16,53,
Husqvarna,TC 85,85,SPORT,2014,,20,68,
Husqvarna,TC 125,125,SPORT,2014,,40,92,
Husqvarna,TC 250,249,SPORT,2014,,47,99,
Husqvarna,FC 250,250,SPORT,2014,,47,99,
Husqvarna,FC 350,349,SPORT,2014,,57,100,
Husqvarna,FC 450,449,SPORT,2014,,63,101,
Husqvarna,FS 450,449,SPORT,2015,,63,102,
Husqvarna,701 Enduro,692,ENDURO,2016,,74,146,
Husqvarna,701 Supermoto,692,SPORT,2016,,74,145,
