brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Indian Motorcycle,Scout 60,999,CUSTOM,2016,2020,78,249,
Indian Motorcycle,Scout Sixty,999,CUSTOM,2021,,78,249,
Indian Motorcycle,Scout,1133,CUSTOM,2015,,95,249,
Indian Motorcycle,Scout Bobber,1133,CUSTOM,2018,,95,251,
Indian Motorcycle,Scout Rogue,1133,CUSTOM,2022,,95,250,
Indian Motorcycle,Scout Rogue Sixty,999,CUSTOM,2023,,78,250,
Indian Motorcycle,FTR 1200,1203,NAKED,2019,2022,120,233,
Indian Motorcycle,FTR S,1203,NAKED,2019,2022,120,233,
Indian Motorcycle,FTR R Carbon,1203,NAKED,2020,,123,235,
Indian Motorcycle,FTR Sport,1203,NAKED,2023,,123,233,
Indian Motorcycle,Chief Dark Horse,1890,CUSTOM,2021,,116,304,
Indian Motorcycle,Chief Bobber Dark Horse,1890,CUSTOM,2021,,116,315,
Indian Motorcycle,Super Chief,1890,CUSTOM,2021,,116,335,
Indian Motorcycle,Super Chief Limited,1890,TOURING,2021,,116,335,
Indian Motorcycle,Springfield,1811,TOURING,2016,2022,92,372,
Indian Motorcycle,Springfield Dark Horse,1890,TOURING,2020,,116,361,
Indian Motorcycle,Chieftain,1811,TOURING,2014,2022,92,370,
Indian Motorcycle,Chieftain Dark Horse,1890,TOURING,2017,,116,373,
Indian Motorcycle,Chieftain Limited,1890,TOURING,2017,,116,379,
Indian Motorcycle,Roadmaster,1811,TOURING,2015,2022,92,408,
Indian Motorcycle,Roadmaster Dark Horse,1890,TOURING,2020,,116,412,
Indian Motorcycle,Roadmaster Limited,1890,TOURING,2020,,116,412,
Indian Motorcycle,Roadmaster Elite,1890,TOURING,2018,,116,420,
Indian Motorcycle,Pursuit Dark Horse,1768,TOURING,2022,,121,416,
Indian Motorcycle,Pursuit Limited,1768,TOURING,2022,,121,416,
Indian Motorcycle,Vintage,1811,CUSTOM,2014,2020,92,370,
Indian Motorcycle,Bobber Twenty,1133,CUSTOM,2020,2022,95,249,
Indian Motorcycle,Classic 500,499,CUSTOM,2010,2014,27,250,
