brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
KTM,125 Duke,125,NAKED,2011,,15,150,
KTM,200 Duke,199,NAKED,2012,2020,25,136,
KTM,250 Duke,249,NAKED,2015,,30,147,
KTM,390 Duke,373,NAKED,2013,2023,44,149,
KTM,390 Duke,399,NAKED,2024,,45,165,
KTM,690 Duke,690,NAKED,2008,,74,148,
KTM,790 Duke,799,NAKED,2018,,105,174,
KTM,890 Duke R,889,NAKED,2020,,121,166,
KTM,990 Duke,947,NAKED,2024,,128,179,
KTM,1290 Super Duke R,1301,NAKED,2014,,180,189,
KTM,1390 Super Duke R,1350,NAKED,2024,,190,200,
KTM,RC 125,125,SPORT,2014,,15,147,
KTM,RC 200,199,SPORT,2014,2021,25,147,
KTM,RC 250,249,SPORT,2015,,30,147,
KTM,RC 390,373,SPORT,2014,,44,172,
KTM,RC 8,1148,SPORT,2008,2015,155,184,
KTM,390 Adventure,373,ADVENTURE,2020,,44,172,
KTM,390 Adventure X,373,ADVENTURE,2023,,44,176,
KTM,690 Enduro R,690,ENDURO,2008,,75,146,
KTM,790 Adventure,799,ADVENTURE,2019,,95,199,
KTM,790 Adventure R,799,ADVENTURE,2019,,95,203,
KTM,890 Adventure,889,ADVENTURE,2021,,105,206,
KTM,890 Adventure R,889,ADVENTURE,2021,,105,196,
KTM,890 SMT,889,ADVENTURE,2023,,105,194,
KTM,950 Adventure,942,ADVENTURE,2003,2006,102,198,
KTM,990 Adventure,999,ADVENTURE,2006,2013,98,209,
KTM,1050 Adventure,1050,ADVENTURE,2015,2016,95,212,
KTM,1090 Adventure,1050,ADVENTURE,2017,2019,125,228,
KTM,1190 Adventure,1195,ADVENTURE,2013,2016,150,230,
KTM,1290 Super Adventure,1301,ADVENTURE,2015,2020,160,229,
KTM,1290 Super Adventure S,1301,ADVENTURE,2017,2024,160,243,
KTM,1290 Super Adventure R,1301,ADVENTURE,2017,2024,160,221,
KTM,1390 Super Adventure S,1350,ADVENTURE,2025,,173,227,
KTM,EXC 125,125,ENDURO,1999,,40,95,
KTM,EXC 250,249,ENDURO,2000,,50,103,
KTM,EXC 300,293,ENDURO,2000,,55,105,
KTM,EXC 350,349,ENDURO,2012,,45,108,
KTM,EXC 450,449,ENDURO,2008,,55,111,
KTM,EXC 500,510,ENDURO,2012,,64,112,
KTM,XC-W 250,249,ENDURO,2006,,50,103,
KTM,XC-W 300,293,ENDURO,2006,,55,105,
KTM,Freeride 250 R,249,ENDURO,2014,2020,26,99,
KTM,Freeride 350,349,ENDURO,2012,2017,24,99,
KTM,Freeride 500 F,510,ENDURO,2020,,40,108
