brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Kawasaki,Ninja 125,125,SPORT,2019,,15,148,
Kawasaki,Ninja 250,249,SPORT,2008,2017,33,168,
Kawasaki,Ninja 300,296,SPORT,2013,2017,39,172,
Kawasaki,Ninja 400,399,SPORT,2018,2023,45,168,
Kawasaki,Ninja 500,451,SPORT,2024,,45,171,
Kawasaki,Ninja 650,649,SPORT,2006,,68,193,
Kawasaki,Ninja ZX-6R,636,SPORT,1995,,129,198,
Kawasaki,Ninja ZX-10R,998,SPORT,2004,,203,207,
Kawasaki,Ninja ZX-14R,1441,SPORT,2006,2020,200,269,
Kawasaki,H2 SX,998,SPORT,2018,,200,260,
Kawasaki,Ninja H2,998,SPORT,2015,,231,238,
Kawasaki,Z125,125,NAKED,2019,,15,146,
Kawasaki,Z250,249,NAKED,2013,2018,32,168,
Kawasaki,Z300,296,NAKED,2015,2017,39,170,
Kawasaki,Z400,399,NAKED,2019,,45,167,
Kawasaki,Z500,451,NAKED,2024,,45,167,
Kawasaki,Z650,649,NAKED,2017,,68,188,
Kawasaki,Z900,948,NAKED,2017,,125,212,
Kawasaki,Z1000,1043,NAKED,2003,2020,142,221,
Kawasaki,Vulcan S,649,CUSTOM,2015,,61,229,
Kawasaki,Vulcan 900 Classic,903,CUSTOM,2006,,50,282,
Kawasaki,Vulcan 1700 Voyager,1700,TOURING,2009,2020,73,383,
Kawasaki,Versys-X 300,296,ADVENTURE,2017,2022,39,184,
Kawasaki,Versys 650,649,ADVENTURE,2007,,67,219,
Kawasaki,Versys 1000,1043,ADVENTURE,2012,,120,257,
Kawasaki,Versys 1100,1099,ADVENTURE,2025,,135,239,
Kawasaki,KLR650,652,ADVENTURE,1987,,40,209,
Kawasaki,KLX230,233,ENDURO,2020,,20,134,
Kawasaki,KLX250,249,ENDURO,2006,2020,24,138,
Kawasaki,KLX300,292,ENDURO,2021,,33,137,
Kawasaki,Eliminator 125,125,CUSTOM,1998,2007,12,135,
Kawasaki,Eliminator 500,451,CUSTOM,2024,,45,176,
Kawasaki,W800,773,CUSTOM,2011,,48,221,
Kawasaki,ER-5,498,NAKED,1997,2006,50,174,
Kawasaki,ER-6n,649,NAKED,2005,2016,72,204,
Kawasaki,ER-6f,649,SPORT,2006,2016,72,211,
Kawasaki,GPZ500S,498,SPORT,1987,2003,60,181,
Kawasaki,GPZ900R,908,SPORT,1984,2003,115,250,
Kawasaki,ZZR600,599,SPORT,1990,2007,98,197,
Kawasaki,ZZR1400,1352,SPORT,2006,2020,200,265
