brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Kymco,Agility 50,49,SCOOTER,2005,,4,92,
Kymco,Agility 125,125,SCOOTER,2006,,10,112,
Kymco,Agility 150,149,SCOOTER,2007,,11,115,
Kymco,Agility City 125,125,SCOOTER,2009,,10,120,
Kymco,Like 50,49,SCOOTER,2009,,4,105,
Kymco,Like 125,125,SCOOTER,2009,,11,120,
Kymco,Like 150,150,SCOOTER,2010,,12,122,
Kymco,Like 200,163,SCOOTER,2011,,15,126,
Kymco,People S 125,125,SCOOTER,2017,,11,135,
Kymco,People S 150,150,SCOOTER,2017,,14,140,
Kymco,People S 200,163,SCOOTER,2017,,15,140,
Kymco,People GT 125,125,SCOOTER,2010,,11,145,
Kymco,People GTi 200,163,SCOOTER,2010,,15,150,
Kymco,Super 8 50,49,SCOOTER,2007,,4,105,
Kymco,Super 8 125,125,SCOOTER,2007,,11,120,
Kymco,X-Town 125,125,TOURING,2016,,15,180,
Kymco,X-Town 300,276,TOURING,2016,,24,194,
Kymco,Downtown 125,125,TOURING,2009,,15,160,
Kymco,Downtown 200,163,TOURING,2010,,15,165,
Kymco,Downtown 300i,299,TOURING,2009,,33,185,
Kymco,Downtown 350i,321,TOURING,2015,,30,192,
Kymco,Xciting 250,249,TOURING,2005,2010,22,180,
Kymco,Xciting 400i,399,TOURING,2013,,36,213,
Kymco,Xciting S 400,400,TOURING,2019,,36,213,
Kymco,AK 550,550,TOURING,2017,,51,226,
Kymco,AK 550 Premium,550,TOURING,2021,,51,226,
Kymco,DT X360,321,TOURING,2021,,29,194,
Kymco,DT X125,125,TOURING,2022,,15,180,
Kymco,Grand Dink 125,125,SCOOTER,2001,,12,150,
Kymco,Grand Dink 300,270,TOURING,2001,,24,170,
Kymco,People 250,250,TOURING,2006,2012,21,160,
Kymco,MyRoad 700,699,TOURING,2010,2014,59,300,
Kymco,MXU 300,271,TOURING,2005,,20,240
