brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
MV Agusta,Brutale 675,675,NAKED,2012,2016,108,167,
MV Agusta,Brutale 800,798,NAKED,2013,,125,175,
MV Agusta,Brutale 800 RR,798,NAKED,2015,,140,168,
MV Agusta,Brutale 1000 RR,998,NAKED,2019,,208,186,
MV Agusta,Brutale 1000 RS,998,NAKED,2021,,208,186,
MV Agusta,Rush 1000,998,NAKED,2020,,208,186,
MV Agusta,Dragster 800,798,NAKED,2014,2017,125,168,
MV Agusta,Dragster 800 RR,798,NAKED,2015,,140,168,
MV Agusta,Dragster 800 RC,798,NAKED,2017,,140,168,
MV Agusta,Dragster RR SCS,798,NAKED,2021,,140,175,
MV Agusta,F3 675,675,SPORT,2012,,128,173,
MV Agusta,F3 800,798,SPORT,2013,,147,173,
MV Agusta,F3 800 RC,798,SPORT,2015,,148,173,
MV Agusta,F4 750,749,SPORT,1999,2009,137,192,
MV Agusta,F4 1000,998,SPORT,2004,2018,195,191,
MV Agusta,F4 RR,998,SPORT,2011,2018,201,190,
MV Agusta,F4 RC,998,SPORT,2015,2018,205,175,
MV Agusta,Superveloce 800,798,SPORT,2019,,147,173,
MV Agusta,Superveloce 800 S,798,SPORT,2021,,147,173,
MV Agusta,Superveloce 1000 Serie Oro,998,SPORT,2024,,208,194,
MV Agusta,Rivale 800,798,NAKED,2013,2018,125,178,
MV Agusta,Turismo Veloce 800,798,TOURING,2015,,110,191,
MV Agusta,Turismo Veloce 800 Lusso,798,TOURING,2015,,110,199,
MV Agusta,Turismo Veloce 800 RC,798,TOURING,2017,,110,199,
MV Agusta,Stradale 800,798,TOURING,2015,2017,115,212,
MV Agusta,Raptor 650,650,NAKED,2000,2005,73,180,
MV Agusta,Brutale 910,909,NAKED,2005,2011,136,185,
MV Agusta,Brutale 1090,1078,NAKED,2010,2018,144,183,
MV Agusta,Brutale 1090 RR,1078,NAKED,2010,2018,158,183,
