brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Malaguti,Cento 50,49,SCOOTER,1997,2003,4,85,
Malaguti,F10 50,49,SCOOTER,1992,2010,4,90,
Malaguti,F12 Phantom 50,49,SCOOTER,1994,2011,4,95,
Malaguti,F12 Phantom Max 100,101,SCOOTER,2001,2005,8,105,
Malaguti,F15 Firefox 50,49,SCOOTER,1996,2009,4,96,
Malaguti,F18 Warrior 50,49,SCOOTER,1998,2006,4,100,
Malaguti,Madison 125,124,SCOOTER,1999,2006,14,130,
Malaguti,Madison 150,151,SCOOTER,1999,2006,15,135,
Malaguti,Madison 180,174,SCOOTER,2000,2006,16,140,
Malaguti,Madison 200,199,SCOOTER,2002,2007,19,145,
Malaguti,Madison 250,249,SCOOTER,2001,2009,22,160,
Malaguti,Madison 3 125,124,SCOOTER,2006,2011,15,145,
Malaguti,Madison 3 250,249,SCOOTER,2006,2011,22,165,
Malaguti,Blog 125,124,SCOOTER,2009,2011,15,150,
Malaguti,Blog 160,160,SCOOTER,2009,2011,16,155,
Malaguti,Spidermax GT 500,460,TOURING,2004,2011,39,245,
Malaguti,Password 250,244,SCOOTER,2005,2011,22,170,
Malaguti,Password 150,151,SCOOTER,2005,2011,15,145,
Malaguti,Centro 125,124,SCOOTER,2007,2011,10,125,
Malaguti,Centro 160,160,SCOOTER,2007,2011,11,130,
Malaguti,Drakon 125,124,NAKED,2005,2010,15,120,
Malaguti,Drakon 50,49,NAKED,2005,2010,4,105,
Malaguti,Monte Pro 125,124,NAKED,2021,,13,124,
Malaguti,Monte Pro 300,292,NAKED,2021,,25,155,
Malaguti,Mission 125,124,SCOOTER,2021,,12,135,
Malaguti,Mission 200,181,SCOOTER,2021,,18,145,
Malaguti,Madison 125 S,124,SCOOTER,2022,,15,155,
Malaguti,Spidermax 500 GT,460,TOURING,2022,,39,245,
Malaguti,XSM 125,124,ENDURO,2021,,15,135,
Malaguti,XTM 125,124,ENDURO,2021,,15,135,
Malaguti,XTM 50,49,ENDURO,2021,,4,110,
