brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Moto Guzzi,V7 Classic,744,NAKED,2008,2012,48,182,
Moto Guzzi,V7 Stone,744,NAKED,2012,,65,218,
Moto Guzzi,V7 Special,744,NAKED,2012,,65,218,
Moto Guzzi,V7 Racer,744,SPORT,2010,2016,48,179,
Moto Guzzi,V7 III Stone,744,NAKED,2017,2020,52,209,
Moto Guzzi,V7 III Special,744,NAKED,2017,2020,52,209,
Moto Guzzi,V9 Roamer,853,CUSTOM,2016,,65,199,
Moto Guzzi,V9 Bobber,853,CUSTOM,2016,,65,199,
Moto Guzzi,V9 Bobber Sport,853,CUSTOM,2019,2021,65,210,
Moto Guzzi,V85 TT,853,ADVENTURE,2019,,76,229,
Moto Guzzi,V85 TT Travel,853,ADVENTURE,2020,,76,243,
Moto Guzzi,V85 Strada,853,ADVENTURE,2024,,80,226,
Moto Guzzi,V100 Mandello,1042,TOURING,2022,,115,233,
Moto Guzzi,V100 Mandello S,1042,TOURING,2022,,115,233,
Moto Guzzi,Stelvio 1200 4V,1151,ADVENTURE,2008,2016,105,251,
Moto Guzzi,Stelvio 1200 NTX,1151,ADVENTURE,2009,2016,105,272,
Moto Guzzi,California 1100,1064,CUSTOM,1997,2012,75,251,
Moto Guzzi,California 1400 Touring,1380,TOURING,2013,2017,96,318,
Moto Guzzi,California 1400 Custom,1380,CUSTOM,2013,2017,96,300,
Moto Guzzi,Audace 1400,1380,CUSTOM,2015,2017,120,299,
Moto Guzzi,Eldorado 1400,1380,CUSTOM,2015,2017,96,314,
Moto Guzzi,Norge 850,877,TOURING,2006,2008,75,244,
Moto Guzzi,Norge 1200,1151,TOURING,2006,2016,95,257,
Moto Guzzi,Breva 750,744,NAKED,2003,2009,48,210,
Moto Guzzi,Breva 1100,1064,NAKED,2005,2011,86,236,
Moto Guzzi,Griso 850,877,SPORT,2006,2011,76,231,
Moto Guzzi,Griso 1100,1064,SPORT,2005,2011,88,227,
Moto Guzzi,Griso 1200 8V,1151,SPORT,2007,2016,110,242,
Moto Guzzi,MGS-01 Corsa,1225,SPORT,2004,2006,122,192,
Moto Guzzi,Le Mans 850,844,SPORT,1976,1985,71,220,
Moto Guzzi,Le Mans 1000,949,SPORT,1984,1993,82,230,
Moto Guzzi,Quota 1000,992,ADVENTURE,1992,1997,71,240,
Moto Guzzi,Nevada 750,CUSTOM,1991,2016,48,210
