brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Peugeot Motocycles,Kisbee 50,49,SCOOTER,2010,,4,95,
Peugeot Motocycles,Kisbee 100,102,SCOOTER,2013,2020,7,100,
Peugeot Motocycles,Kisbee 125,125,SCOOTER,2013,,10,107,
Peugeot Motocycles,Streetzone 50,49,SCOOTER,2013,,4,97,
Peugeot Motocycles,Speedfight 50,49,SCOOTER,1997,,4,99,
Peugeot Motocycles,Speedfight 125,125,SCOOTER,2014,,11,121,
Peugeot Motocycles,Tweet 50,49,SCOOTER,2010,,4,100,
Peugeot Motocycles,Tweet 125,125,SCOOTER,2010,,11,109,
Peugeot Motocycles,Tweet 150,150,SCOOTER,2012,,12,115,
Peugeot Motocycles,Tweet GT 125,125,SCOOTER,2021,,11,121,
Peugeot Motocycles,Django 50,49,SCOOTER,2014,,4,135,
Peugeot Motocycles,Django 125,125,SCOOTER,2014,,11,135,
Peugeot Motocycles,Django 150,150,SCOOTER,2014,,12,135,
Peugeot Motocycles,Django 250,250,SCOOTER,2015,2018,20,140,
Peugeot Motocycles,Belville 125,125,SCOOTER,2017,,11,150,
Peugeot Motocycles,Belville 200,170,SCOOTER,2017,2020,12,155,
Peugeot Motocycles,Pulsion 125,125,TOURING,2019,,14,170,
Peugeot Motocycles,Pulsion Allure 125,125,TOURING,2019,,14,170,
Peugeot Motocycles,Satelis 125,125,TOURING,2006,2017,15,160,
Peugeot Motocycles,Satelis 250,250,TOURING,2006,2012,22,180,
Peugeot Motocycles,Satelis 300,278,TOURING,2010,2017,22,190,
Peugeot Motocycles,Satelis 400,399,TOURING,2007,2013,37,213,
Peugeot Motocycles,Metropolis 400,399,TOURING,2013,,37,271,
Peugeot Motocycles,Metropolis 500,493,TOURING,2020,2022,36,280,
Peugeot Motocycles,XP400 Allure,400,TOURING,2023,,36,231,
Peugeot Motocycles,XP400 GT,400,TOURING,2023,,36,231,
Peugeot Motocycles,Citystar 50,49,SCOOTER,2011,2020,4,120,
Peugeot Motocycles,Citystar 125,125,SCOOTER,2011,2020,15,157,
Peugeot Motocycles,Citystar 200,190,SCOOTER,2011,2020,15,160,
Peugeot Motocycles,Geopolis 125,125,TOURING,2007,2013,15,155,
Peugeot Motocycles,Geopolis 250,244,TOURING,2007,2013,22,165,
Peugeot Motocycles,Geopolis 300,278,TOURING,2007,2013,22,170,
