brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Piaggio,Liberty 50,49,SCOOTER,1997,,4,96,
Piaggio,Liberty 125,124,SCOOTER,1997,,11,125,
Piaggio,Liberty 150,155,SCOOTER,2001,,13,126,
Piaggio,Liberty 200,199,SCOOTER,2004,2009,15,130,
Piaggio,Zip 50,49,SCOOTER,1992,,4,85,
Piaggio,Zip 100,96,SCOOTER,2000,2006,8,90,
Piaggio,Zip 125,124,SCOOTER,2000,2010,10,108,
Piaggio,Typhoon 50,49,SCOOTER,1993,2018,4,95,
Piaggio,Typhoon 125,124,SCOOTER,1995,2008,10,110,
Piaggio,Fly 50,49,SCOOTER,2005,2018,4,99,
Piaggio,Fly 125,124,SCOOTER,2005,2018,11,120,
Piaggio,Fly 150,151,SCOOTER,2005,2018,12,122,
Piaggio,NRG Power 50,49,SCOOTER,2005,2017,4,99,
Piaggio,Beverly 125,124,SCOOTER,2001,,15,160,
Piaggio,Beverly 200,198,SCOOTER,2001,2007,21,165,
Piaggio,Beverly 250,244,SCOOTER,2004,2009,22,170,
Piaggio,Beverly 300,278,SCOOTER,2009,,25,177,
Piaggio,Beverly 350,330,SCOOTER,2011,2020,30,191,
Piaggio,Beverly 400,399,SCOOTER,2021,,35,187,
Piaggio,Beverly 500,460,SCOOTER,2002,2012,39,215,
Piaggio,Medley 125,124,SCOOTER,2015,,15,136,
Piaggio,Medley 150,155,SCOOTER,2015,,15,136,
Piaggio,Medley 200,174,SCOOTER,2020,,17,136,
Piaggio,MP3 125,124,SCOOTER,2006,2012,15,206,
Piaggio,MP3 250,244,SCOOTER,2006,2009,22,226,
Piaggio,MP3 300,278,SCOOTER,2009,,25,225,
Piaggio,MP3 400,399,SCOOTER,2007,,35,250,
Piaggio,MP3 500,493,SCOOTER,2011,2021,44,275,
Piaggio,MP3 530,530,SCOOTER,2022,,44,280,
Piaggio,X10 125,124,SCOOTER,2012,2016,15,199,
Piaggio,X10 350,330,SCOOTER,2012,2016,33,211,
Piaggio,X10 500,493,SCOOTER,2012,2016,41,236,
Piaggio,Hexagon 125,124,SCOOTER,1994,2000,15,150,
Piaggio,Hexagon 150,151,SCOOTER,1994,2000,14,155,
Piaggio,Hexagon 250,244,SCOOTER,1998,2000,22,170,
Piaggio,GT 125,124,SCOOTER,2003,2007,15,158,
Piaggio,GT 200,198,SCOOTER,2003,2007,20,165,
Piaggio,X7 125,124,SCOOTER,2008,2012,15,150,
Piaggio,X8 125,124,SCOOTER,2004,2008,15,160,
Piaggio,X8 250,244,SCOOTER,2005,2008,22,175,
Piaggio,X9 500,460,SCOOTER,2001,2006,39,220,
Piaggio,MP3 Yourban 300,278,SCOOTER,2011,2017,25,225,
Piaggio,1 Active,125,SCOOTER,2022,,12,94,
Piaggio,Velocifero 50,49,SCOOTER,1993,1998,4,90,
Piaggio,Ciao 50,49,SCOOTER,1967,2006,2,50,
Piaggio,Si 50,49,SCOOTER,1979,2001,2,50,
