brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
QJ Motor,SRT 125,125,ADVENTURE,2021,,15,157,
QJ Motor,SRT 300,296,ADVENTURE,2021,,29,165,
QJ Motor,SRT 550,554,ADVENTURE,2022,,47,235,
QJ Motor,SRT 700,698,ADVENTURE,2022,,73,220,
QJ Motor,SRT 700 X,698,ADVENTURE,2022,,73,240,
QJ Motor,SRT 800,754,ADVENTURE,2024,,76,240,
QJ Motor,SRK 125,125,NAKED,2021,,15,157,
QJ Motor,SRK 125 S,125,NAKED,2023,,15,157,
QJ Motor,SRK 400,400,NAKED,2021,,42,186,
QJ Motor,SRK 550,554,NAKED,2022,,47,186,
QJ Motor,SRK 700,693,NAKED,2023,,74,218,
QJ Motor,SRK 800,778,NAKED,2024,,95,207,
QJ Motor,SRV 125,125,CUSTOM,2022,,15,150,
QJ Motor,SRV 300,296,CUSTOM,2021,,30,164,
QJ Motor,SRV 550,554,CUSTOM,2022,,47,230,
QJ Motor,SRV 700,693,CUSTOM,2023,,76,224,
QJ Motor,Fortress 350,350,SCOOTER,2022,,34,205,
QJ Motor,Fortress 125,125,SCOOTER,2022,,15,145,
QJ Motor,ATR 125,125,SCOOTER,2023,,15,150,
QJ Motor,ATR 150,150,SCOOTER,2023,,15,152,
QJ Motor,Flash 50,49,SCOOTER,2022,,4,95,
QJ Motor,LTR 125,125,TOURING,2022,,15,160,
QJ Motor,Falcone 800,754,SPORT,2024,,76,205,
QJ Motor,SRK 600 RR,600,SPORT,2024,,80,210
