brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Royal Enfield,Bullet 350,349,CUSTOM,1932,,20,195,
Royal Enfield,Bullet 500,499,CUSTOM,2008,2020,27,190,
Royal Enfield,Classic 350,349,CUSTOM,2009,,20,195,
Royal Enfield,Classic 500,499,CUSTOM,2009,2020,27,190,
Royal Enfield,Meteor 350,349,CUSTOM,2020,,20,191,
Royal Enfield,Super Meteor 650,648,CUSTOM,2023,,47,241,
Royal Enfield,Interceptor 650,648,NAKED,2018,,47,202,
Royal Enfield,Continental GT 650,648,NAKED,2018,,47,198,
Royal Enfield,Hunter 350,349,NAKED,2022,,20,181,
Royal Enfield,Himalayan 411,411,ADVENTURE,2016,2023,24,199,
Royal Enfield,Himalayan 450,452,ADVENTURE,2023,,40,196,
Royal Enfield,Scram 411,411,ADVENTURE,2022,,24,185,
Royal Enfield,Thunderbird 350,346,CUSTOM,2009,2020,20,192,
Royal Enfield,Thunderbird X 350,346,CUSTOM,2018,2020,20,197,
Royal Enfield,Thunderbird X 500,499,CUSTOM,2018,2020,27,197,
Royal Enfield,Classic Signals 350,346,CUSTOM,2018,2020,20,195,
Royal Enfield,Classic Redditch 350,346,CUSTOM,2017,2020,20,195,
Royal Enfield,Classic Chrome 500,499,CUSTOM,2010,2020,27,190,
Royal Enfield,Classic Battle Green 500,499,CUSTOM,2010,2020,27,190,
Royal Enfield,Interceptor 750,736,NAKED,1962,1970,52,190,
Royal Enfield,Continental GT 535,535,NAKED,2014,2018,29,184,
Royal Enfield,Bullet 650,648,CUSTOM,2025,,47,210
