brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
SYM,Fiddle 50,49,SCOOTER,2007,,4,100,
SYM,Fiddle II 50,49,SCOOTER,2009,2016,4,105,
SYM,Fiddle III 50,49,SCOOTER,2016,,4,105,
SYM,Fiddle 125,124,SCOOTER,2007,,11,115,
SYM,Fiddle III 125,124,SCOOTER,2016,,11,116,
SYM,Fiddle 200,169,SCOOTER,2018,,12,120,
SYM,Symphony 50,49,SCOOTER,2010,,4,100,
SYM,Symphony 125,124,SCOOTER,2009,,11,120,
SYM,Symphony 150,149,SCOOTER,2010,,12,122,
SYM,Symphony ST 125,124,SCOOTER,2015,,11,123,
SYM,Symphony ST 200,169,SCOOTER,2015,,12,125,
SYM,Symphony SR 125,124,SCOOTER,2020,,11,122,
SYM,Jet 14 50,49,SCOOTER,2017,,4,110,
SYM,Jet 14 125,124,SCOOTER,2015,,11,126,
SYM,Jet 14 200,169,SCOOTER,2018,,12,128,
SYM,Jet X 125,124,SCOOTER,2021,,12,140,
SYM,Jet X 150,149,SCOOTER,2021,,14,140,
SYM,Cruisym 125,124,TOURING,2017,,14,160,
SYM,Cruisym 150,149,TOURING,2017,,15,165,
SYM,Cruisym 300,278,TOURING,2015,,27,194,
SYM,Cruisym Alpha 300,278,TOURING,2019,,27,194,
SYM,Joymax 125,124,TOURING,2009,2018,14,170,
SYM,Joymax 250,249,TOURING,2010,2017,22,180,
SYM,Joymax 300,278,TOURING,2010,2017,27,190,
SYM,Maxsym 400,399,TOURING,2011,,34,215,
SYM,Maxsym TL 500,465,TOURING,2019,2023,40,223,
SYM,Maxsym 600,565,TOURING,2014,2020,45,234,
SYM,HD 125,124,SCOOTER,2008,2017,11,130,
SYM,HD 200,171,SCOOTER,2009,2017,15,140,
SYM,HD 300,278,SCOOTER,2019,,27,174,
SYM,Mio 50,49,SCOOTER,2010,,4,95,
SYM,Mio 100,100,SCOOTER,2011,2017,8,100,
SYM,Mio 115,113,SCOOTER,2012,2018,9,100,
SYM,Orbit 50,49,SCOOTER,2007,,4,95,
SYM,Orbit 125,124,SCOOTER,2010,,11,115,
SYM,X-Pro 50,49,SCOOTER,2014,,4,100,
SYM,X-Pro 125,124,SCOOTER,2014,,11,120,
