brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Suzuki,GSX-R125,125,SPORT,2017,,15,134,
Suzuki,GSX-S125,125,NAKED,2017,,15,133,
Suzuki,GSX250R,248,SPORT,2017,,25,181,
Suzuki,GSX-R600,599,SPORT,1997,2020,124,187,
Suzuki,GSX-R750,750,SPORT,1985,,150,190,
Suzuki,GSX-R1000,999,SPORT,2001,2022,202,203,
Suzuki,GSX-R1000R,999,SPORT,2017,2022,202,203,
Suzuki,Hayabusa GSX1300R,1340,SPORT,1999,,190,264,
Suzuki,Katana 1000,999,NAKED,2019,,152,215,
Suzuki,Katana 750,748,NAKED,1981,2006,92,220,
Suzuki,SV650,645,NAKED,1999,,76,200,
Suzuki,SV650X,645,NAKED,2018,,76,200,
Suzuki,GSX-8S,776,NAKED,2023,,83,202,
Suzuki,GSX-8R,776,SPORT,2024,,83,205,
Suzuki,GSR600,599,NAKED,2006,2011,98,208,
Suzuki,GSR750,749,NAKED,2011,2016,106,213,
Suzuki,Bandit 650,656,NAKED,2005,2016,85,215,
Suzuki,Bandit 1250,1255,TOURING,2007,2016,98,254,
Suzuki,SV1000,996,NAKED,2003,2007,120,214,
Suzuki,V-Strom 250,248,ADVENTURE,2017,2020,25,188,
Suzuki,V-Strom 650,645,ADVENTURE,2004,,71,213,
Suzuki,V-Strom 650 XT,645,ADVENTURE,2015,,71,216,
Suzuki,V-Strom 800,776,ADVENTURE,2023,,84,223,
Suzuki,V-Strom 800 DE,776,ADVENTURE,2023,,84,230,
Suzuki,V-Strom 1000,1037,ADVENTURE,2002,2020,101,228,
Suzuki,V-Strom 1050,1037,ADVENTURE,2020,,107,236,
Suzuki,V-Strom 1050 XT,1037,ADVENTURE,2020,,107,247,
Suzuki,DR-Z400S,398,ENDURO,2000,,40,144,
Suzuki,DR650SE,644,ENDURO,1996,,43,166,
Suzuki,DR800S Big,779,ENDURO,1990,1999,54,200,
Suzuki,RM-Z250,249,ENDURO,2007,,39,106,
Suzuki,RM-Z450,449,ENDURO,2005,,60,112,
Suzuki,Intruder 125,125,CUSTOM,2000,2008,14,145,
Suzuki,Intruder 250,249,CUSTOM,2000,2007,20,160,
Suzuki,Intruder C800,805,CUSTOM,2005,2014,53,251,
Suzuki,Intruder M800,805,CUSTOM,2005,2014,53,277,
Suzuki,Boulevard M109R,1783,CUSTOM,2006,,125,347,
Suzuki,Boulevard C50,805,CUSTOM,2005,2019,53,277,
Suzuki,Burgman 125,125,SCOOTER,2002,,12,164,
Suzuki,Burgman 200,200,SCOOTER,2007,,18,164,
Suzuki,Burgman 400,400,SCOOTER,1998,,29,218,
Suzuki,Burgman 650,638,SCOOTER,2002,2018,56,277,
Suzuki,Address 110,113,SCOOTER,2015,,9,97,
Suzuki,Burgman Street 125,125,SCOOTER,2018,,8,110
