brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Triumph,Speed 400,398,NAKED,2023,,40,170,
Triumph,Scrambler 400 X,398,CUSTOM,2023,,40,179,
Triumph,Trident 660,660,NAKED,2021,,81,189,
Triumph,Street Triple 675,675,NAKED,2007,2017,106,168,
Triumph,Street Triple 765,765,NAKED,2017,,130,188,
Triumph,Street Triple RS 765,765,NAKED,2017,,130,188,
Triumph,Speed Triple 1050,1050,NAKED,1994,2020,150,214,
Triumph,Speed Triple 1200 RS,1160,NAKED,2021,,180,198,
Triumph,Speed Triple 1200 RR,1160,SPORT,2021,,180,199,
Triumph,Daytona 675,675,SPORT,2006,2017,128,185,
Triumph,Daytona Moto2 765,765,SPORT,2019,,130,168,
Triumph,Daytona 660,660,SPORT,2024,,95,201,
Triumph,Thruxton 900,865,CUSTOM,2004,2015,70,230,
Triumph,Thruxton 1200,1200,CUSTOM,2016,2024,97,206,
Triumph,Cafe Racer 900,900,CUSTOM,2018,2020,65,198,
Triumph,Street Twin 900,900,CUSTOM,2016,,65,216,
Triumph,Scrambler 900,900,CUSTOM,2006,,65,223,
Triumph,Scrambler 1200 XC,1200,CUSTOM,2019,,90,205,
Triumph,Scrambler 1200 XE,1200,CUSTOM,2019,,90,207,
Triumph,Bonneville T100,900,CUSTOM,2016,,65,228,
Triumph,Bonneville T120,1200,CUSTOM,2016,,80,236,
Triumph,Bobber 1200,1200,CUSTOM,2017,,78,251,
Triumph,Bobber Black 1200,1200,CUSTOM,2018,,78,237,
Triumph,Speedmaster 1200,1200,CUSTOM,2018,,78,316,
Triumph,Bonneville Speedmaster 1200,1200,CUSTOM,2018,,78,316,
Triumph,Tiger 660 Sport,660,ADVENTURE,2022,,81,206,
Triumph,Tiger 800,799,ADVENTURE,2011,2020,95,213,
Triumph,Tiger 850 Sport,888,ADVENTURE,2021,,85,215,
Triumph,Tiger 900 GT,888,ADVENTURE,2020,,95,219,
Triumph,Tiger 900 Rally Pro,888,ADVENTURE,2020,,95,221,
Triumph,Tiger 1200 GT,1160,ADVENTURE,2022,,150,245,
Triumph,Tiger 1200 Rally Pro,1160,ADVENTURE,2022,,150,249,
Triumph,Tiger Explorer 1200,1215,ADVENTURE,2012,2021,141,259,
Triumph,Trophy 1200,1215,TOURING,2012,2017,134,301,
Triumph,America 865,865,CUSTOM,2007,2015,61,260,
Triumph,Legend TT 900,885,NAKED,1998,2001,70,225,
