brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Voge,500DS,471,ADVENTURE,2020,2023,47,205,
Voge,500DSX,471,ADVENTURE,2021,,47,206,
Voge,650DS,651,ADVENTURE,2021,,47,219,
Voge,650DSX,651,ADVENTURE,2022,,47,219,
Voge,300DS,292,ADVENTURE,2020,,29,170,
Voge,525DSX,494,ADVENTURE,2023,,47,190,
Voge,900DSX,895,ADVENTURE,2024,,95,215,
Voge,500AC,471,NAKED,2020,,47,185,
Voge,500ACX,471,NAKED,2023,,47,190,
Voge,300AC,292,NAKED,2020,,28,150,
Voge,525ACX,494,NAKED,2023,,47,198,
Voge,800AC,798,NAKED,2024,,95,185,
Voge,300R,292,SPORT,2020,,29,147,
Voge,500R,471,SPORT,2020,,47,198,
Voge,525R,494,SPORT,2023,,47,190,
Voge,500SR1,494,SPORT,2023,,47,214,
Voge,300 Rally,292,ENDURO,2021,,29,160,
Voge,500 Rally,494,ENDURO,2023,,47,190,
Voge,DS525X,494,ADVENTURE,2024,,48,199,
Voge,SR4 Max,350,SCOOTER,2021,,29,214,
Voge,SR1,125,SCOOTER,2023,,15,139,
Voge,S525,494,TOURING,2023,,47,198,
