brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Yamaha,MT-125,125,NAKED,2014,,15,142,
Yamaha,MT-03,321,NAKED,2015,,42,168,
Yamaha,MT-07,689,NAKED,2014,,73,184,
Yamaha,MT-09,890,NAKED,2013,,119,193,
Yamaha,MT-10,998,NAKED,2016,,166,212,
Yamaha,XSR125,125,NAKED,2021,,15,140,
Yamaha,XSR700,689,NAKED,2016,,73,186,
Yamaha,XSR900,890,NAKED,2016,,119,193,
Yamaha,Tracer 7,689,ADVENTURE,2020,,73,197,
Yamaha,Tracer 9,890,ADVENTURE,2021,,119,213,
Yamaha,Tracer 9 GT,890,ADVENTURE,2021,,119,220,
Yamaha,Tenere 700,689,ADVENTURE,2019,,73,205,
Yamaha,Tenere 700 World Raid,689,ADVENTURE,2022,,73,220,
Yamaha,Super Tenere 1200,1199,ADVENTURE,2010,2020,112,261,
Yamaha,XT660Z Tenere,660,ADVENTURE,2008,2016,48,206,
Yamaha,XT1200Z Super Tenere,1199,TOURING,2010,2020,112,261,
Yamaha,YZF-R125,125,SPORT,2008,,15,144,
Yamaha,YZF-R3,321,SPORT,2015,,42,169,
Yamaha,YZF-R6,599,SPORT,1999,2020,118,190,
Yamaha,YZF-R7,689,SPORT,2022,,73,188,
Yamaha,YZF-R1,998,SPORT,1998,,200,201,
Yamaha,YZF-R1M,998,SPORT,2015,,200,202,
Yamaha,MT-01,1670,NAKED,2005,2012,90,265,
Yamaha,FZ6,599,NAKED,2004,2010,98,210,
Yamaha,FZ8,779,NAKED,2010,2016,106,211,
Yamaha,XJ6 Diversion,600,NAKED,2009,2016,78,211,
Yamaha,SR400,399,CUSTOM,1978,2021,23,174,
Yamaha,Bolt XV950,942,CUSTOM,2014,2020,52,251,
Yamaha,Virago XV535,535,CUSTOM,1987,2003,46,182,
Yamaha,Drag Star XVS650,649,CUSTOM,1997,2006,40,247,
Yamaha,Drag Star XVS1100,1063,CUSTOM,1999,2009,62,275,
Yamaha,Midnight Star XV1900,1854,CUSTOM,2006,2017,90,347,
Yamaha,VMAX 1700,1679,CUSTOM,2009,2017,200,310,
Yamaha,TMAX 500,499,SCOOTER,2001,2012,44,221,
Yamaha,TMAX 530,530,SCOOTER,2012,2019,46,213,
Yamaha,TMAX 560,562,SCOOTER,2020,,47,218,
Yamaha,XMAX 125,125,SCOOTER,2006,,14,166,
Yamaha,XMAX 300,292,SCOOTER,2017,,28,180,
Yamaha,XMAX 400,395,SCOOTER,2013,2022,33,210,
Yamaha,NMAX 125,125,SCOOTER,2015,,12,131,
Yamaha,NMAX 155,155,SCOOTER,2015,,15,132,
Yamaha,WR250F,250,ENDURO,2001,,30,106,
Yamaha,WR450F,450,ENDURO,2003,,60,109,
Yamaha,YZ250F,250,ENDURO,2001,,39,106,
Yamaha,XT250,249,ENDURO,2008,2020,20,132,
Yamaha,XT660R,660,ENDURO,2004,2016,48,181,
Yamaha,BW's 50,49,SCOOTER,1990,2017,4,85,
Yamaha,Aerox 50,49,SCOOTER,1997,2020,4,97
