brand,name,engineCc,category,yearStart,yearEnd,horsePower,weightKg,imageUrl
Zontes,125 U,125,NAKED,2020,,14,150,
Zontes,125 G1,125,NAKED,2021,,14,150,
Zontes,125 C,125,CUSTOM,2022,,14,160,
Zontes,310 T,312,ADVENTURE,2018,2023,35,159,
Zontes,310 X,312,SPORT,2018,2023,35,149,
Zontes,310 R,312,NAKED,2018,2023,35,145,
Zontes,310 V,312,CUSTOM,2020,2023,35,164,
Zontes,350 T,348,ADVENTURE,2022,,39,196,
Zontes,350 T1,348,ADVENTURE,2022,,39,196,
Zontes,350 X,348,SPORT,2022,,39,160,
Zontes,350 R,348,NAKED,2022,,39,151,
Zontes,350 V,348,CUSTOM,2022,,39,160,
Zontes,350 D,349,SCOOTER,2023,,38,198,
Zontes,350 E,349,SCOOTER,2023,,38,203,
Zontes,350 M,349,SCOOTER,2023,,38,185,
Zontes,350 GK,348,SPORT,2023,,39,188,
Zontes,500 T,491,ADVENTURE,2024,,52,213,
Zontes,500 T1,491,ADVENTURE,2024,,52,213,
Zontes,500 X,491,SPORT,2024,,52,208,
Zontes,500 R,491,NAKED,2024,,52,203,
Zontes,703 F,699,ADVENTURE,2024,,95,230,
Zontes,703 RR,699,SPORT,2024,,95,220,
Zontes,703 R,699,NAKED,2024,,95,218,
Zontes,703 T,699,ADVENTURE,2024,,95,236
