name,logoUrl
Honda,https://upload.wikimedia.org/wikipedia/commons/7/7b/Honda_Logo.svg
Yamaha,https://upload.wikimedia.org/wikipedia/commons/5/5e/Yamaha_Motor_logo.svg
BMW Motorrad,https://upload.wikimedia.org/wikipedia/commons/4/44/BMW.svg
Piaggio,https://upload.wikimedia.org/wikipedia/commons/3/3a/Piaggio_logo.svg
Kawasaki,https://upload.wikimedia.org/wikipedia/commons/9/9d/Kawasaki_logo.svg
Ducati,https://upload.wikimedia.org/wikipedia/commons/6/6d/Ducati_Logo.svg
KTM,https://upload.wikimedia.org/wikipedia/commons/0/0b/KTM-Logo.svg
Suzuki,https://upload.wikimedia.org/wikipedia/commons/1/12/Suzuki_logo_2.svg
Aprilia,https://upload.wikimedia.org/wikipedia/commons/5/5d/Aprilia_logo.svg
Triumph,https://upload.wikimedia.org/wikipedia/commons/7/7c/Triumph_Motorcycles_logo.svg
Moto Guzzi,https://upload.wikimedia.org/wikipedia/commons/7/7e/Moto_Guzzi_logo.svg
Benelli,
Royal Enfield,https://upload.wikimedia.org/wikipedia/commons/6/6c/Royal_Enfield_logo.svg
Harley-Davidson,https://upload.wikimedia.org/wikipedia/commons/3/3e/Harley-Davidson_logo.svg
Indian Motorcycle,
MV Agusta,
Husqvarna,
CFMOTO,
Voge,
Zontes,
QJ Motor,
Fantic,
Beta,
GasGas,
Derbi,
Malaguti,
Kymco,
SYM,
Peugeot Motocycles,
